epoch,stage,train_loss,learning_rate,grad_norm,val_mean_cost,val_mean_gap_vs_greedy,val_gap_std,val_win_rate,val_mean_gap_vs_ilp,val_mean_cost_random
1,5,5.113527787526449,0.000999731817646987,1.2962479110059475,18565.57785409662,1.234944059527314,0.8074531373285142,95.19999999999999,-889.057013868451,24481.001255786894
2,5,4.9976484253141615,0.0009989275582750444,1.9761978087162675,18555.178314501136,1.2901486123549306,0.8106691372403678,96.2,-888.5200520648691,24466.877288824202
3,5,4.958773855421279,0.000997588084636858,1.9885644938128457,18529.447042990298,1.4274508512219877,0.7895214607480301,98.6,-887.1397814107238,24489.109794585765
4,10,4.697654128816393,0.0009957148336251945,1.8797440300191062,18535.890924260766,1.3932477971169226,0.7796092112753978,98.2,-887.4791075895633,24470.23437156969
5,10,4.676939766565958,0.0009933098147315083,1.9771630338411348,18543.497807006926,1.3530069755735175,0.7702663533849756,97.6,-887.8843570835626,24470.74937688321
6,10,4.671812685966492,0.000990375607890307,1.9358131766954494,18534.720438225777,1.3996195547079338,0.781659016873395,98.8,-887.4248622231686,24479.656649285615
7,20,4.469586641205682,0.000986915360711566,1.8337801095647457,18507.356124369948,1.5454643495961444,0.7502957705606474,99.4,-885.9564695562032,24483.923321835817
8,20,4.4602174932691785,0.0009829327851042123,1.815028708315658,18514.96372242144,1.5050125945901645,0.7885936993070956,99.2,-886.3625573702703,24461.062964227378
9,20,4.457061583730909,0.000978432153294233,1.833344598223007,18521.432574369268,1.4705343606211891,0.7608531917149811,99.2,-886.7065187179377,24473.59422325641
10,20,4.45369056447347,0.0009734182932417411,1.7871029978323576,18520.416869449513,1.476044086104023,0.802948179755792,98.8,-886.6405739357174,24502.116905545263
11,20,4.449066318088108,0.0009678965834618839,1.7643039243471135,18507.966888194933,1.5420780175355344,0.7839544677770475,99.2,-885.9830530467678,24448.90898545331
12,20,4.446708415932125,0.0009618729472551478,1.755190386124233,18510.15519661875,1.5304220419726888,0.7636857314742932,99.6,-886.1063398793507,24482.977377426087
