epoch,stage,train_loss,learning_rate,grad_norm,val_mean_cost,val_mean_gap_vs_greedy,val_gap_std,val_win_rate,val_mean_gap_vs_ilp,val_mean_cost_random
1,5,5.110790823406643,0.000999880801922865,1.3074700751740544,18592.1146384314,1.093804769408306,0.8296895091858892,91.60000000000001,,24469.57171095717
2,5,5.007859098540412,0.000999523264524186,1.7981928307463813,18556.334300025315,1.2842176971774568,0.8079438103417097,97.0,,24448.58388955459
3,5,4.9632662931018405,0.000998927558275042,1.8864483574990905,18518.680941396506,1.484616071151371,0.7979486258594557,98.8,,24489.565465991258
4,10,4.696622883902656,0.000998093967203595,1.8701577567715417,18556.601249330968,1.2833470488354681,0.7732145599406093,97.0,,24479.800863373905
5,10,4.67704859775967,0.0009970228887596572,1.9327813230229949,18548.4747279782,1.3269036255283628,0.772518100658947,97.8,,24482.126508319438
6,10,4.666466838624742,0.0009957148336251914,1.854953329262471,18540.757930027932,1.3678437852516012,0.7801011277978256,98.8,,24457.280046526434
7,20,4.46584203031328,0.0009941704254708228,1.6637924044636172,18535.645986098498,1.3948213071746076,0.7796395810854572,97.39999999999999,,24483.641636959077
8,20,4.454940851847331,0.0009923904006584798,1.6418875652773977,18508.701458188145,1.5381401863355042,0.7845587963092179,99.4,,24492.17468601501
9,20,4.452009019851684,0.0009903756078903038,1.6238122054145772,18522.270408007593,1.4661589784612903,0.7662097399771249,99.0,,24463.215794028252
10,30,1.380225680311521,0.0009881270078039902,4.5196803691755605,20175.33623587486,-7.324083373569359,1.5921289323641454,0.0,,24461.10314273426
11,30,1.0007991174724367,0.000985645672514764,5.836968211890538,20227.1798691856,-7.59957711808859,1.7969285548107181,0.0,,24485.35362729561
12,30,0.9292186123349673,0.0009839180712047932,6.428640452060071,20294.109746737868,-7.955738652310466,1.8177958543542625,0.0,,24475.240014360486
