epoch,stage,train_loss,learning_rate,grad_norm,val_mean_cost,val_mean_gap_vs_greedy,val_gap_std,val_win_rate,val_mean_gap_vs_ilp,val_mean_cost_random
1,5,1.9051160050763025,0.0009999507384217106,1.2090047809128281,1013.9941709013581,2.0318870875581574,5.281101729365072,64.4,-5.933130345684606,1203.832572421074
2,5,1.7868892305692037,0.0009998029633936556,1.8086820561339545,1003.1969576795698,3.0870281161917155,5.3817097945911,71.8,-4.769242286876602,1202.6183876588345
3,5,1.7495376795132955,0.0009995567040343635,1.8864327453169476,996.9701410267353,3.7169398773569675,5.3088337129104906,76.6,-4.082354598499727,1197.2891935009957
4,5,1.7355263260867861,0.0009992120088683294,1.876787972280865,996.0904984605909,3.779107707703609,5.4404420781456375,75.0,-4.001051149259775,1208.3053044986725
5,5,1.7263680622180302,0.0009987689458164683,1.8501746415244962,995.8778584463596,3.803959371643939,5.074386883953318,76.4,-3.9944815170487136,1204.8197826702594
6,5,1.7210518565840192,0.0009982276021827188,1.9041285184518058,992.7066078784466,4.121484150795264,5.268468104488429,80.2,-3.6348366924375823,1206.8372959258556
7,5,1.7166850793626574,0.0009975880846368461,1.8459618273679148,992.9615987644792,4.109058815517419,5.080724354928537,78.8,-3.656634680439482,1198.8750435990096
8,5,1.7120655838648478,0.0009968505191934336,1.8464273303270764,992.454017746687,4.143236451070886,5.180030504878275,80.2,-3.6157535448339115,1199.3462165191174
9,10,0.9865786135991415,0.0009960150511870236,1.6949138355509215,987.564525325656,4.618963873585071,5.073332782641061,84.0,-3.095950208121648,1201.5945545687675
10,10,0.9626788916786512,0.0009950818452435094,1.8366224977517,986.2863172938823,4.738575154279429,4.918626335411589,84.39999999999999,-2.9701347876583846,1203.081497807026
11,10,0.9448530306617419,0.0009940510852476823,1.8859333183159837,983.4604647903442,5.00638793810534,5.025917706338117,86.0,-2.674005945168042,1202.460132658243
12,10,0.925251017053922,0.0009929229743069951,1.9320577429624053,980.4423462568521,5.302020965237249,4.86991856665163,87.8,-2.3549049172780667,1201.4789976594448
13,10,0.9061345940364731,0.0009916977347115526,1.9921915389293041,979.0414591628909,5.443766892623253,4.882093770445801,86.4,-2.2014471322750895,1201.6821091246604
14,10,0.8909071865876516,0.0009903756078903036,2.0683985910449527,979.9052455329299,5.354633869493862,4.904717043167243,87.8,-2.2987062004850563,1204.9268906741142
15,10,0.8832463279631403,0.0009889568543634533,2.0787947815222596,980.0766184758544,5.320557310731763,4.961368558858561,87.8,-2.334362749200965,1200.3897904897929
16,10,0.8698188667429818,0.0009874417536911604,2.0862800077689054,978.0586419509649,5.520697490128083,4.858170845202188,90.0,-2.120930659606626,1203.9902129740715
17,10,0.866321027636528,0.0009858306044184318,2.0779809123881123,979.2399834569693,5.410217086781438,4.938547640666063,88.2,-2.236698760634781,1200.1529635605812
18,10,0.8613989879224035,0.0009841237240162824,2.1121191698958564,978.9178428148628,5.439550668467442,4.960298980717711,87.4,-2.20502086159834,1201.619928730011
19,10,0.855318955325418,0.0009823214488192088,2.114000966874998,978.5979821750522,5.468227863442609,4.971619251378819,88.8,-2.1700721099005205,1206.7456899483204
20,10,0.8532123239371512,0.0009804241339588893,2.0777572501404458,977.5195436407328,5.582886048687021,4.873191924615635,90.4,-2.0492578126754695,1199.3501443244816
21,10,0.8465442239509688,0.0009784321532942239,2.0836311858246637,978.5478695367575,5.481716851858631,4.82013321041944,89.8,-2.1638314794790747,1203.3847862884998
22,10,0.8470968361033334,0.0009763458993376597,2.033720656779477,978.2765765010118,5.493347737929005,4.857977113266378,89.60000000000001,-2.149611515266587,1203.9091113027334
23,10,0.8422504529158275,0.0009741657831778448,2.023278063609799,978.9550141416788,5.443515954602178,4.970334869003794,88.2,-2.1992826623305617,1204.9177032678128
24,10,0.8413234836988979,0.0009718922343986304,2.0147393785192107,977.1621923063993,5.609420122557409,4.89739851348953,90.8,-2.0218553291865606,1204.9308421406745
25,10,0.8388719226055675,0.0009695257009944225,1.988304851321937,978.6910942845941,5.459417474752605,5.014948098515078,86.8,-2.18200765264011,1201.9451914955973
26,10,0.8329164321025213,0.0009670666492819042,2.0633458883681897,977.666988555789,5.5621034854865075,4.8896513299664415,90.2,-2.07422597589012,1202.795606904745
27,10,0.8313961785833041,0.0009645155638081483,2.0268545396374553,977.6565416395068,5.559608403098995,4.866438699490257,88.0,-2.0781122512587396,1202.8542397868632
28,10,0.8311773290435474,0.0009618729472551404,1.9874504254088732,978.3820435744524,5.498523948859076,4.870162064763079,88.6,-2.147561452960407,1205.696796537161
