epoch,stage,train_loss,learning_rate,grad_norm,val_mean_cost,val_mean_gap_vs_greedy,val_gap_std,val_win_rate,val_mean_gap_vs_ilp,val_mean_cost_random
1,5,5.286464316050211,0.0009997299090536787,0.04647192471059023,19480.63564474501,-3.6222526875880745,1.594701117150133,0.0,-941.1943708269487,24453.993125452995
2,5,5.1753136656019425,0.0009989199280111914,0.8005339245484994,18772.529375705646,0.14939378522082022,1.0744779068692458,56.99999999999999,-903.3289311025868,24388.716310769392
3,5,5.0678153991699215,0.0009975709319467218,1.6604994936326964,18584.803957807348,1.1482325735111771,0.8277351129442022,93.0,-893.2950319825993,24446.013308427333
4,10,4.891170088450114,0.0009956843782667653,1.4901568805221963,18589.436318852826,1.1236063584765459,0.8275754688029912,89.0,-893.5381928556405,24493.18415216148
5,10,4.856500068770514,0.0009932623051355958,1.5551390964373024,18589.13133035712,1.1256906998892162,0.8197424165882727,93.0,-893.5161871607778,24457.933827916382
6,10,4.8424519893858164,0.0009903073292733106,1.5107647860999656,18593.01853687696,1.1043261680973557,0.8021970493023046,91.0,-893.7362063770536,24464.342269036173
7,20,4.654603753089905,0.0009868226431288174,1.409596812936057,18559.70748518996,1.2822177461294486,0.7755930693181412,97.0,-891.9610438267598,24449.41569906585
8,20,4.588864694171481,0.00098281201143083,1.5783590489784174,18539.80753731601,1.387146061486149,0.8170650827863559,99.0,-890.8966847517361,24459.254229304046
9,20,4.552440651787652,0.0009782797671205898,1.927347999758425,18506.992703357264,1.5620702758789375,0.7915285771163215,100.0,-889.1175179952436,24406.01141771734
10,20,4.526671437687344,0.000973230806670717,2.1621109299955115,18525.66724584691,1.462391812256704,0.803953370018074,100.0,-890.1251179912276,24491.01584597938
